,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
71.5,1149.298362,2977.45689637,119.929503,457.746194656,,,,,1125.91343905,2382.24595899,137.610122725,473.874376952
71.7,1326.030894,2646.7682515,135.940858,494.330392727,,,,,1125.86556374,2382.34057126,136.410795023,469.789574823
72.4,-180.414669,-362.278451807,160.999177,534.880986711,,,,,1125.69800016,2382.67171419,132.213148065,455.492767372
72.6,1112.132815,2428.23758734,125.179173,447.068475,,,,,1125.65012486,2382.76632645,131.013820362,451.407965243
74.3,1317.885044,2840.26949138,31.463703,107.384651877,,,,,1125.24318474,2383.57053071,120.819534892,416.687147147
74.4,1095.94214,2218.50635628,117.412969,384.960554098,,,,,1125.21924708,2383.61783685,120.219871041,414.644746083
74.5,1381.659443,2939.70094255,247.99323,895.282418773,,,,,1125.19530943,2383.66514298,119.62020719,412.602345018
75.1,1376.79902,2948.17777302,98.518592,344.470601399,,,,,1125.05168351,2383.94897978,116.022224083,400.347938632
75.4,1287.012222,2589.56181489,99.065263,316.5024377,,,,,1124.97987054,2384.09089818,114.223232529,394.220735438
75.6,886.036032,1947.33193846,166.303669,547.051542763,,,,,1124.93199524,2384.18551044,113.023904827,390.135933309
78.1,1139.161053,2476.43707174,107.826284,379.670014085,,,,,1124.33355389,2385.36816377,98.0323085473,339.075906698
78.2,1044.053892,2027.28911068,120.112378,422.930908451,,,,,1124.30961623,2385.4154699,97.4326446961,337.033505633
78.7,1144.844262,2341.19480982,118.182625,373.995648734,,,,,1124.18992796,2385.65200057,94.4343254402,326.821500311
78.8,1213.877473,2616.11524353,104.071945,369.049450355,,,,,1124.16599031,2385.6993067,93.834661589,324.779099247
