,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
26.4,2.466314,0.642269270833,5.921489,1.0326977677,2.46930204403,0.632765056685,6.05210641278,0.997068768494,,,,
27.4,2.703112,0.665299532365,6.706166,1.01979409976,2.44466232037,0.626691199663,5.9915269298,0.987330419749,,,,
29.7,2.56161,0.669351972825,6.024963,1.04763745436,2.38799095595,0.612721328511,5.85219411896,0.964932217637,,,,
30.8,2.170304,0.561092037229,5.620004,0.888116940582,2.36088725992,0.606040085786,5.78555668769,0.954220034018,,,,
30.9,2.069581,0.515719162721,5.23083,0.80797497683,2.35842328755,0.605432700084,5.77949873939,0.953246199144,,,,
31.3,2.608595,0.661240811153,6.661929,1.06233918035,2.34856739809,0.603003157275,5.7552669462,0.949350859646,,,,
32.6,2.357741,0.615276878914,5.512724,0.956405968078,2.31653575732,0.595107143145,5.67651361833,0.936691006278,,,,
33.9,2.041804,0.536047256498,5.604512,0.974358831711,2.28450411656,0.587211129016,5.59776029047,0.92403115291,,,,
34.4,2.365535,0.579220127326,5.774216,0.847902496329,2.27218425473,0.584174200504,5.56747054898,0.919161978538,,,,
34.7,2.001607,0.516543741935,5.229793,0.84269948437,2.26479233763,0.582352043398,5.54929670409,0.916240473915,,,,
35.3,2.376502,0.62572459189,5.674121,0.991979195804,2.25000850344,0.578707729184,5.5129490143,0.910397464668,,,,
35.4,2.39734,0.623657648283,5.983783,0.998295462129,2.24754453107,0.578100343482,5.50689106601,0.909423629794,,,,
36.4,2.312319,0.608825434439,5.462512,0.95066341803,2.22290480741,0.572026486459,5.44631158303,0.899685281049,,,,
38.5,2.234184,0.586707983193,5.218654,0.909331590869,2.17116138771,0.559271386712,5.31909466879,0.879234748686,,,,
38.9,2.1698485,0.564875919942,5.3040975,0.887323689918,2.16130549825,0.556841843903,5.2948628756,0.875339409188,,,,
40.8,2.2077335,0.573069576884,4.9445275,0.843809980864,2.11449002329,0.54530151556,5.17976185794,0.856836546574,,,,
41.3,2.149137,0.526362233652,5.413752,0.799904255319,2.10217016146,0.542264587048,5.14947211646,0.851967372201,,,,
41.4,1.810519,0.47198096976,4.409162,0.764020447063,2.09970618909,0.541657201346,5.14341416816,0.850993537327,,,,
41.9,1.838416,0.475657438551,4.384942,0.724783801653,2.08738632726,0.538620272835,5.11312442667,0.846124362955,,,,
43.1,1.7724,0.462646828504,4.08613,0.71211746253,2.05781865887,0.531331644408,5.0404290471,0.834438344461,,,,
45.1,1.803353,0.452421726041,4.556078,0.714791026043,2.00853921154,0.519183930362,4.91927008115,0.814961646973,,,,
