,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
72.4,57.475383,19.1393216783,158.014837,32.4799253854,,,,,64.8296913849,20.9489462578,153.642860947,30.9834215537
72.6,84.120571,27.2852971132,187.218437,38.3016442308,,,,,63.7656176786,20.6035378007,151.381249581,30.5233838909
74.3,43.020793,13.6357505547,99.350788,20.3005288108,,,,,54.7209911749,17.6675659151,132.157552977,26.6130637574
74.4,76.153807,24.463156762,178.027703,35.5699706294,,,,,54.1889543217,17.4948616865,131.026747295,26.3830449261
74.5,57.35538,18.6218766234,145.785414,28.3078473786,,,,,53.6569174686,17.322157458,129.895941612,26.1530260947
75.1,41.656918,13.6535293346,102.864329,20.9499651731,,,,,50.4646963496,16.2859320866,123.111107517,24.7729131064
75.4,44.159362,14.0814292092,101.298448,20.2718527116,,,,,48.8685857902,15.7678194009,119.718690469,24.0828566122
75.6,59.266322,19.1800394822,121.4865,24.9663995068,,,,,47.8045120839,15.4224109438,117.457079104,23.6228189495
78.1,45.985887,14.7060719539,108.920229,22.2240826362,,,,,34.5035907549,11.1048052296,89.1869370389,17.872348165
78.2,53.332185,17.5146748768,136.2016,27.5321609056,,,,,33.9715539018,10.9321010011,88.0561313563,17.6423293336
78.7,49.407637,15.6254386464,118.041242,23.5564242666,,,,,31.311369636,10.0685798582,82.4021029433,16.4922351767
78.8,49.092412,16.053764552,139.17248,28.3273926318,,,,,30.7793327828,9.89587562967,81.2712972607,16.2622163453
