11/2009,PRINCETON TWP,Residential,"481,807.367 THM","4,946","4,751,382.000 KWH","6,207"
11/2009,PRINCETON TWP,Street Lighting,,,"110,757.000 KWH",95
12/2009,PRINCETON BORO,Commercial,"1,376,832.298 THM",464,"14,592,139.000 KWH",903
12/2009,PRINCETON BORO,Industrial,"7,839.519 THM",21,"18,255.000 KWH",30
12/2009,PRINCETON BORO,Residential,"260,176.683 THM","3,070","2,001,607.000 KWH","3,875"
12/2009,PRINCETON BORO,Street Lighting,,,"64,580.000 KWH",48
12/2009,PRINCETON TWP,Commercial,"258,994.786 THM",291,"5,538,224.000 KWH",711
12/2009,PRINCETON TWP,Industrial,"2,245.636 THM",11,"34,169.000 KWH",18
12/2009,PRINCETON TWP,Residential,"657,496.816 THM","4,947","5,229,793.000 KWH","6,206"
12/2009,PRINCETON TWP,Street Lighting,,,"108,277.000 KWH",95
01/2010,PRINCETON BORO,Commercial,"2,176,372.097 THM",503,"12,281,039.000 KWH",929
01/2010,PRINCETON BORO,Industrial,"14,738.308 THM",21,"19,980.000 KWH",31
01/2010,PRINCETON BORO,Residential,"548,031.604 THM","3,092","2,608,595.000 KWH","3,945"
01/2010,PRINCETON BORO,Street Lighting,,,"66,336.000 KWH",48
01/2010,PRINCETON TWP,Commercial,"448,426.943 THM",295,"6,459,651.000 KWH",769
01/2010,PRINCETON TWP,Industrial,"4,134.042 THM",11,"41,247.000 KWH",18
01/2010,PRINCETON TWP,Residential,"1,369,392.502 THM","4,924","6,661,929.000 KWH","6,271"
01/2010,PRINCETON TWP,Street Lighting,,,"110,935.000 KWH",95
02/2010,PRINCETON BORO,Commercial,"2,304,682.432 THM",467,"12,251,971.000 KWH",872
02/2010,PRINCETON BORO,Industrial,"12,930.369 THM",21,"20,474.000 KWH",30
02/2010,PRINCETON BORO,Residential,"472,086.115 THM","3,062","2,170,304.000 KWH","3,868"
02/2010,PRINCETON BORO,Street Lighting,,,"60,436.000 KWH",62
02/2010,PRINCETON TWP,Commercial,"391,697.649 THM",296,"5,141,150.000 KWH",683
02/2010,PRINCETON TWP,Industrial,"3,497.882 THM",11,"47,674.000 KWH",18
02/2010,PRINCETON TWP,Residential,"1,168,457.565 THM","4,949","5,620,004.000 KWH","6,328"
02/2010,PRINCETON TWP,Street Lighting,,,"102,414.000 KWH",136
03/2010,PRINCETON BORO,Commercial,"2,072,578.968 THM",470,"11,560,931.000 KWH",875
03/2010,PRINCETON BORO,Industrial,"12,004.191 THM",21,"21,190.000 KWH",30
03/2010,PRINCETON BORO,Residential,"409,701.885 THM","3,068","2,123,136.000 KWH","3,897"
03/2010,PRINCETON BORO,Street Lighting,,,"-245,362.000 KWH",30
03/2010,PRINCETON TWP,Commercial,"318,675.181 THM",292,"5,761,998.000 KWH",715
03/2010,PRINCETON TWP,Industrial,"3,228.176 THM",11,"33,163.000 KWH",18
03/2010,PRINCETON TWP,Residential,"973,673.183 THM","4,948","5,332,207.000 KWH","6,303"
03/2010,PRINCETON TWP,Street Lighting,,,"95,890.000 KWH",95
04/2010,PRINCETON BORO,Commercial,"1,485,033.293 THM",478,"16,048,411.000 KWH",938
04/2010,PRINCETON BORO,Industrial,"6,032.909 THM",21,"22,577.000 KWH",30
04/2010,PRINCETON BORO,Residential,"192,025.570 THM","3,032","1,827,629.000 KWH","3,911"
04/2010,PRINCETON BORO,Street Lighting,,,"356,335.000 KWH",76
04/2010,PRINCETON TWP,Commercial,"204,069.740 THM",308,"5,358,061.000 KWH",733
04/2010,PRINCETON TWP,Industrial,"1,648.933 THM",11,"35,491.000 KWH",18
04/2010,PRINCETON TWP,Residential,"474,813.765 THM","4,955","4,836,289.000 KWH","6,302"
04/2010,PRINCETON TWP,Street Lighting,,,"94,297.000 KWH",95
05/2010,PRINCETON BORO,Commercial,"847,283.381 THM",474,"16,754,760.000 KWH",889
05/2010,PRINCETON BORO,Industrial,"4,121.959 THM",21,"21,937.000 KWH",30
05/2010,PRINCETON BORO,Residential,"144,246.104 THM","3,163","1,750,656.000 KWH","4,108"
05/2010,PRINCETON BORO,Street Lighting,,,"49,801.000 KWH",49
05/2010,PRINCETON TWP,Commercial,"145,087.991 THM",303,"5,384,826.000 KWH",735
05/2010,PRINCETON TWP,Industrial,"1,081.944 THM",12,"29,107.000 KWH",19
05/2010,PRINCETON TWP,Residential,"296,187.250 THM","4,960","4,248,383.000 KWH","6,334"
05/2010,PRINCETON TWP,Street Lighting,,,"87,191.000 KWH",95
06/2010,PRINCETON BORO,Commercial,"1,093,871.752 THM",473,"15,510,550.000 KWH",892
06/2010,PRINCETON BORO,Industrial,"2,070.388 THM",21,"32,093.000 KWH",30
06/2010,PRINCETON BORO,Residential,"76,153.807 THM","3,113","2,249,494.000 KWH","3,990"
06/2010,PRINCETON BORO,Street Lighting,,,"47,336.000 KWH",49
06/2010,PRINCETON TWP,Commercial,"116,696.559 THM",293,"5,727,596.000 KWH",719
06/2010,PRINCETON TWP,Industrial,716.410 THM,12,"31,686.000 KWH",18
06/2010,PRINCETON TWP,Residential,"178,027.703 THM","5,005","5,933,629.000 KWH","6,419"
06/2010,PRINCETON TWP,Street Lighting,,,"83,689.000 KWH",95
07/2010,PRINCETON BORO,Commercial,"1,143,806.726 THM",468,"15,743,540.000 KWH",906
07/2010,PRINCETON BORO,Industrial,"1,037.536 THM",21,"39,255.000 KWH",30
07/2010,PRINCETON BORO,Residential,"49,407.637 THM","3,162","3,214,743.000 KWH","4,010"
07/2010,PRINCETON BORO,Street Lighting,,,"50,783.000 KWH",49
07/2010,PRINCETON TWP,Commercial,"117,789.989 THM",306,"5,952,750.000 KWH",733
07/2010,PRINCETON TWP,Industrial,392.636 THM,10,"34,009.000 KWH",18
07/2010,PRINCETON TWP,Residential,"118,041.242 THM","5,011","8,372,483.000 KWH","6,421"
07/2010,PRINCETON TWP,Street Lighting,,,"86,702.000 KWH",93
08/2010,PRINCETON BORO,Commercial,"1,285,994.631 THM",476,"15,416,339.000 KWH",912
08/2010,PRINCETON BORO,Industrial,"1,017.591 THM",21,"41,927.000 KWH",30
08/2010,PRINCETON BORO,Residential,"44,159.362 THM","3,136","3,435,328.000 KWH","4,007"
08/2010,PRINCETON BORO,Street Lighting,,,"50,757.000 KWH",49
08/2010,PRINCETON TWP,Commercial,"98,662.790 THM",303,"6,101,384.000 KWH",719
08/2010,PRINCETON TWP,Industrial,402.473 THM,10,"51,722.000 KWH",18
08/2010,PRINCETON TWP,Residential,"101,298.448 THM","4,997","8,748,208.000 KWH","6,376"
08/2010,PRINCETON TWP,Street Lighting,,,"90,456.000 KWH",97
09/2010,PRINCETON BORO,Commercial,"1,107,988.548 THM",475,"16,314,841.000 KWH",927
09/2010,PRINCETON BORO,Industrial,784.199 THM,21,"40,651.000 KWH",30
09/2010,PRINCETON BORO,Residential,"40,660.159 THM","3,196","2,633,960.000 KWH","4,073"
09/2010,PRINCETON BORO,Street Lighting,,,"55,482.000 KWH",49
09/2010,PRINCETON TWP,Commercial,"33,899.500 THM",298,"5,791,052.000 KWH",731
09/2010,PRINCETON TWP,Industrial,429.442 THM,10,"42,886.000 KWH",18
09/2010,PRINCETON TWP,Residential,"105,223.616 THM","4,991","6,714,258.000 KWH","6,442"
09/2010,PRINCETON TWP,Street Lighting,,,"95,280.000 KWH",95
10/2010,PRINCETON BORO,Commercial,"1,263,046.580 THM",478,"14,633,473.000 KWH",917
10/2010,PRINCETON BORO,Industrial,"1,867.924 THM",21,"29,184.000 KWH",30
10/2010,PRINCETON BORO,Residential,"68,098.495 THM","3,114","2,068,756.000 KWH","3,990"
10/2010,PRINCETON BORO,Street Lighting,,,"58,107.000 KWH",49
10/2010,PRINCETON TWP,Commercial,"163,275.580 THM",306,"5,987,463.000 KWH",748
10/2010,PRINCETON TWP,Industrial,672.825 THM,10,"32,630.000 KWH",18
10/2010,PRINCETON TWP,Residential,"164,458.085 THM","5,010","5,057,811.000 KWH","6,385"
10/2010,PRINCETON TWP,Street Lighting,,,"99,109.000 KWH",95
11/2010,PRINCETON BORO,Commercial,"1,214,627.114 THM",489,"14,664,962.000 KWH",918
11/2010,PRINCETON BORO,Industrial,"5,353.505 THM",21,"21,738.000 KWH",30
